fitness,structure
2.7471154,"{'opt': 'SGD', 'learning_rate': 0.007370411395696698, 'n_hidden_units': 64, 'dropout': 0.36343937416569294, 'seq_len': 8, 'weight_decay': 0, 'h2': 91, 'features': ['BRENT Close', 'SENT']}"
3.0644689,"{'opt': 'RMSprop', 'learning_rate': 0.0007756246527408616, 'n_hidden_units': 8, 'dropout': 0.22635245472523424, 'seq_len': 24, 'weight_decay': 0, 'h2': 111, 'features': ['BRENT Close', 'SENT']}"
2.9537845,"{'opt': 'Adamax', 'learning_rate': 0.006336166704576765, 'n_hidden_units': 16, 'dropout': 0.38990491975823055, 'seq_len': 12, 'weight_decay': 0, 'h2': 97, 'features': ['BRENT Close', 'SENT']}"
3.4427273,"{'opt': 'SGD', 'learning_rate': 0.004052245282796301, 'n_hidden_units': 4, 'dropout': 0.5, 'seq_len': 18, 'weight_decay': 0, 'h2': 83, 'features': ['BRENT Close', 'SENT']}"
2.7991803,"{'opt': 'Adamax', 'learning_rate': 0.006574394238557886, 'n_hidden_units': 16, 'dropout': 0.4246751805844982, 'seq_len': 18, 'weight_decay': 0, 'h2': 84, 'features': ['BRENT Close', 'SENT']}"
6.899262,"{'opt': 'AdamW', 'learning_rate': 0.007159403048745246, 'n_hidden_units': 16, 'dropout': 0.3661223976270269, 'seq_len': 26, 'weight_decay': 0, 'h2': 107, 'features': ['BRENT Close', 'SENT']}"
2.4568577,"{'opt': 'Adamax', 'learning_rate': 0.006204930687265659, 'n_hidden_units': 8, 'dropout': 0.39041834679374837, 'seq_len': 17, 'weight_decay': 0, 'h2': 54, 'features': ['BRENT Close', 'SENT']}"
3.3843858,"{'opt': 'AdamW', 'learning_rate': 0.008545770667803666, 'n_hidden_units': 16, 'dropout': 0.463844675073324, 'seq_len': 13, 'weight_decay': 0, 'h2': 107, 'features': ['BRENT Close', 'SENT']}"
2.501372,"{'opt': 'SGD', 'learning_rate': 0.0049275476875207365, 'n_hidden_units': 32, 'dropout': 0.465814447991653, 'seq_len': 3, 'weight_decay': 0, 'h2': 92, 'features': ['BRENT Close', 'SENT']}"
3.6704812,"{'opt': 'SGD', 'learning_rate': 0.008423363226735972, 'n_hidden_units': 16, 'dropout': 0.5, 'seq_len': 11, 'weight_decay': 0, 'h2': 104, 'features': ['BRENT Close', 'SENT']}"
4.5149784,"{'opt': 'SGD', 'learning_rate': 0.01, 'n_hidden_units': 16, 'dropout': 0.4522719003540363, 'seq_len': 12, 'weight_decay': 0, 'h2': 70, 'features': ['BRENT Close', 'SENT']}"
2.3918612,"{'opt': 'SGD', 'learning_rate': 0.01, 'n_hidden_units': 8, 'dropout': 0.34609552549313816, 'seq_len': 16, 'weight_decay': 0, 'h2': 115, 'features': ['BRENT Close', 'SENT']}"
11.544344,"{'opt': 'RMSprop', 'learning_rate': 0.008619464996206007, 'n_hidden_units': 32, 'dropout': 0.5, 'seq_len': 25, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
2.7195647,"{'opt': 'Adamax', 'learning_rate': 0.005948664274440261, 'n_hidden_units': 16, 'dropout': 0.2591389656686958, 'seq_len': 20, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
37.448685,"{'opt': 'AdamW', 'learning_rate': 0.00848184793759762, 'n_hidden_units': 16, 'dropout': 0.5, 'seq_len': 26, 'weight_decay': 0, 'h2': 96, 'features': ['BRENT Close', 'SENT']}"
5.0582633,"{'opt': 'Adamax', 'learning_rate': 0.005780318873950016, 'n_hidden_units': 4, 'dropout': 0.4128683168312128, 'seq_len': 19, 'weight_decay': 0, 'h2': 124, 'features': ['SENT', 'BRENT Close']}"
2.6922693,"{'opt': 'SGD', 'learning_rate': 0.009860881214220013, 'n_hidden_units': 16, 'dropout': 0.21202408678689855, 'seq_len': 12, 'weight_decay': 0, 'h2': 108, 'features': ['BRENT Close', 'SENT']}"
2.6031504,"{'opt': 'SGD', 'learning_rate': 0.007482810128141115, 'n_hidden_units': 4, 'dropout': 0.4003564422495118, 'seq_len': 20, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
2.3922138,"{'opt': 'SGD', 'learning_rate': 0.009060714983871876, 'n_hidden_units': 16, 'dropout': 0.5, 'seq_len': 20, 'weight_decay': 0, 'h2': 118, 'features': ['BRENT Close', 'SENT']}"
2.599344,"{'opt': 'SGD', 'learning_rate': 0.0060288538589013735, 'n_hidden_units': 32, 'dropout': 0.4231822388343216, 'seq_len': 26, 'weight_decay': 0, 'h2': 72, 'features': ['BRENT Close', 'SENT']}"
2.4601886,"{'opt': 'SGD', 'learning_rate': 0.006341025171395213, 'n_hidden_units': 8, 'dropout': 0.37166301476389063, 'seq_len': 18, 'weight_decay': 0, 'h2': 106, 'features': ['BRENT Close', 'SENT']}"
3.5340898,"{'opt': 'Adamax', 'learning_rate': 0.01, 'n_hidden_units': 8, 'dropout': 0.42971897561221734, 'seq_len': 26, 'weight_decay': 0, 'h2': 113, 'features': ['BRENT Close', 'SENT']}"
2.6420393,"{'opt': 'SGD', 'learning_rate': 0.009635298173965948, 'n_hidden_units': 16, 'dropout': 0.5, 'seq_len': 18, 'weight_decay': 0, 'h2': 105, 'features': ['BRENT Close', 'SENT']}"
26.11544,"{'opt': 'RMSprop', 'learning_rate': 0.009443900761848673, 'n_hidden_units': 32, 'dropout': 0.3940846112210039, 'seq_len': 21, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
2.848396,"{'opt': 'SGD', 'learning_rate': 0.01, 'n_hidden_units': 32, 'dropout': 0.24837479944226767, 'seq_len': 24, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
2.5668774,"{'opt': 'RMSprop', 'learning_rate': 0.00550577869803406, 'n_hidden_units': 16, 'dropout': 0.28530628679872744, 'seq_len': 19, 'weight_decay': 0, 'h2': 106, 'features': ['BRENT Close', 'SENT']}"
5.230501,"{'opt': 'RMSprop', 'learning_rate': 0.009412200890732145, 'n_hidden_units': 16, 'dropout': 0.24497481928864548, 'seq_len': 19, 'weight_decay': 0, 'h2': 59, 'features': ['BRENT Close', 'SENT']}"
7.9005613,"{'opt': 'RMSprop', 'learning_rate': 0.0098481595987474, 'n_hidden_units': 16, 'dropout': 0.34032211909856175, 'seq_len': 12, 'weight_decay': 0, 'h2': 85, 'features': ['BRENT Close', 'SENT']}"
2.9015145,"{'opt': 'Adamax', 'learning_rate': 0.01, 'n_hidden_units': 16, 'dropout': 0.5, 'seq_len': 17, 'weight_decay': 0, 'h2': 113, 'features': ['BRENT Close', 'SENT']}"
25.608534,"{'opt': 'AdamW', 'learning_rate': 0.009058220467926507, 'n_hidden_units': 64, 'dropout': 0.3721194264206457, 'seq_len': 10, 'weight_decay': 0, 'h2': 70, 'features': ['BRENT Close', 'SENT']}"
2.544415,"{'opt': 'AdamW', 'learning_rate': 0.007462347858106459, 'n_hidden_units': 16, 'dropout': 0.40883860145426115, 'seq_len': 18, 'weight_decay': 0, 'h2': 101, 'features': ['BRENT Close', 'SENT']}"
3.3024504,"{'opt': 'RMSprop', 'learning_rate': 0.009837445135423457, 'n_hidden_units': 16, 'dropout': 0.44307260972156165, 'seq_len': 13, 'weight_decay': 0, 'h2': 126, 'features': ['SENT', 'BRENT Close']}"
2.369226,"{'opt': 'Adamax', 'learning_rate': 0.01, 'n_hidden_units': 32, 'dropout': 0.4118628336831412, 'seq_len': 10, 'weight_decay': 0, 'h2': 70, 'features': ['BRENT Close', 'SENT']}"
7.8649144,"{'opt': 'RMSprop', 'learning_rate': 0.00787003322725295, 'n_hidden_units': 16, 'dropout': 0.5, 'seq_len': 20, 'weight_decay': 0, 'h2': 67, 'features': ['BRENT Close', 'SENT']}"
2.9860137,"{'opt': 'SGD', 'learning_rate': 0.009268685221274005, 'n_hidden_units': 8, 'dropout': 0.458426209539063, 'seq_len': 14, 'weight_decay': 0, 'h2': 107, 'features': ['BRENT Close', 'SENT']}"
2.2448537,"{'opt': 'Adamax', 'learning_rate': 0.01, 'n_hidden_units': 4, 'dropout': 0.38435552590266614, 'seq_len': 11, 'weight_decay': 0, 'h2': 70, 'features': ['BRENT Close', 'SENT']}"
2.853152,"{'opt': 'Adamax', 'learning_rate': 0.01, 'n_hidden_units': 32, 'dropout': 0.3451421865409126, 'seq_len': 11, 'weight_decay': 0, 'h2': 48, 'features': ['BRENT Close', 'SENT']}"
3.1055152,"{'opt': 'RMSprop', 'learning_rate': 0.006143060838526732, 'n_hidden_units': 16, 'dropout': 0.2397698213223777, 'seq_len': 17, 'weight_decay': 0, 'h2': 66, 'features': ['BRENT Close', 'SENT']}"
3.7707033,"{'opt': 'Adam', 'learning_rate': 0.00805415447003461, 'n_hidden_units': 32, 'dropout': 0.43793170283645666, 'seq_len': 10, 'weight_decay': 0, 'h2': 126, 'features': ['SENT', 'BRENT Close']}"
77.08518,"{'opt': 'AdamW', 'learning_rate': 0.01, 'n_hidden_units': 64, 'dropout': 0.3709587740922237, 'seq_len': 18, 'weight_decay': 0, 'h2': 98, 'features': ['BRENT Close', 'SENT']}"
2.4195328,"{'opt': 'Adamax', 'learning_rate': 0.01, 'n_hidden_units': 32, 'dropout': 0.38633757473847025, 'seq_len': 3, 'weight_decay': 0, 'h2': 99, 'features': ['BRENT Close', 'SENT']}"
3.0460694,"{'opt': 'SGD', 'learning_rate': 0.009397281808342144, 'n_hidden_units': 32, 'dropout': 0.3245422220420147, 'seq_len': 15, 'weight_decay': 0, 'h2': 97, 'features': ['BRENT Close', 'SENT']}"
2.4732642,"{'opt': 'Adamax', 'learning_rate': 0.007286301319023031, 'n_hidden_units': 32, 'dropout': 0.37139303496016063, 'seq_len': 12, 'weight_decay': 0, 'h2': 74, 'features': ['BRENT Close', 'SENT']}"
